name,count,words
менеджер,2221,"менеджер, менеджера, Менеджера, МЕНЕДЖЕР, Менеджер"
инженер,1885,"инженер, Инженер, инженера, Инженера, ИНЖЕНЕР, инженерии"
продавец,1732,"ПРОДАВЕЦ, продавец, Продавец"
экономист,1603,"Экономист, экономист, ЭКОНОМИСТ, экономиста"
бухгалтер,1217,"БУХГАЛТЕРА, бухгалтер, БУХГАЛТЕР, бухгалтера, Бухгалтер, Бухгалтера, Бухгалтерия, бухгалтерии"
техник,1191,"ТЕХНИКИ, технике, Техник, Техника, ТЕХНИК, Техники, техник, техники, техника"
кассир,966,"кассира, Кассир, КАССИР, кассир"
оператор,922,"оператора, операторами, ОПЕРАТОР, Оператора, Оператор, оператор"
водител,852,"Водителей, Водитель, водителя, ВОДИТЕЛЬ, водитель, водителей"
юрист,804,"юрист, юриста, Юриста, Юрист, ЮРИСТ"
учител,695,"Учитель, Учительь, учитель, УЧИТЕЛЬ"
слесар,645,"Слесарь, СЛЕСАРЬ, Слесар, слесарем, Слесарем, слесаря, слесарей, слесарь"
повар,617,"ПОВАР, Повар, повар, повара"
машинист,597,"Машинист, Машиниста, Машинистом, машинист, МАШИНИСТ, машиниста"
директор,552,"Директор, Директора, директора, ДИРЕКТОР, директор, ДИРЕКТОРА"
администратор,453,"администратора, АДМИНИСТРАТОР, Администратор, администратор, Администратора"
воспитател,430,"ВОСПИТАТЕЛЬ, Воспитатель, воспитатель, воспитателя, ВОСПИТАТЕЛЯ"
преподавател,341,"Преподаватель, ПРЕПОДАВАТЕЛЬ, преподаватель, преподавателя, преподавателям"
механик,334,"механик, МЕХАНИК, Механик, Механика, механика"
психолог,328,"психолог, Психолог, ПСИХОЛОГ, ПСИХОЛОГИИ, Психология, психологии, психология, Психологии"
контролер,269,"контролёр, КОНТРОЛЁР, контролера, Контролёра, контролер, КОНТРОЛЕР, Контролер, Контролёр"
инспектор,252,"ИНСПЕКТОРА, инспектор, Инспектор, инспектора, ИНСПЕКТОР"
педагог,237,"педагога, педагог, Педагог, ПЕДАГОГ"
секретар,228,"секретарь, СЕКРЕТАРЯ, секретаря, Секретарь"
уборщик,223,"уборщика, УБОРЩИК, Уборщик, уборщик, уборщики"
охранник,220,"охранник, ОХРАННИК, Охранник, охранника"
кладовщик,216,"кладовщика, Кладовщик, кладовщик, КЛАДОВЩИК"
тракторист,215,"Тракториста, Тракторист, ТРАКТОРИСТ, тракторист"
монтажник,205,"Монтажник, монтажник, МОНТАЖНИК"
кондитер,202,"КОНДИТЕР, кондитер, Кондитер"
сторож,184,"СТОРОЖ, сторож, Сторож, сторожем"
электромонтер,181,"Электромонтер, электромонтера, электромонтер, Электромонтёром, электромонтёр, ЭЛЕКТРОМОНТЕР, Электромонтёр"
кочегар,166,"КОЧЕГАР, Кочегар, кочегар"
врач,164,"Врач, врача, врач, ВРАЧ"
товаровед,155,"Товаровед, ТОВАРОВЕД, товаровед"
электрогазосварщик,132,"Электрогазосварщик, электрогазосварщик, ЭЛЕКТРОГАЗОСВАРЩИК"
лаборант,132,"лаборанта, Лаборант, лаборант, ЛАБОРАНТ"
грузчик,130,"грузчиком, грузчик, Грузчик, ГРУЗЧИК"
официант,127,"официант, ОФИЦИАНТ, Официант"
строител,125,"строительь, СТРОИТЕЛЬ, Строитель, строитель"
ремонтник,125,"РЕМОНТНИК, ремонтника, ремонтник"
парикмахер,123,"парикмахера, Парикмахер, ПАРИКМАХЕР, парикмахер, ПАрикмахер"
экспедитор,123,"Экспедитор, Экспедиторов, ЭКСПЕДИТОР, экспедитор"
экономик,121,"ЭКОНОМИКА, экономики, экономике, экономика, Экономика, Экономики, экономикии, Экономико"
программист,112,"программист, ПРОГРАММИСТ, Программист"
дизайнер,110,"Дизайнер, дизайнер"
электрик,108,"электрик, ЭЛЕКТРИК, Электрик, электрика"
информатик,108,"информатика, Информатик, Информатика, ИНФОРМАТИК, информатики, информатик, ИНФОРМАТИКИ"
уборщиц,98,"УБОРЩИЦА, уборщица, уборщицей, УБОРЩИЦЫ, Уборщица"
математик,95,"Математика, МАТЕМАТИКИ, математика, математики, Математик, математик"
плотник,95,"ПЛОТНИК, Плотник, плотник"
сборщик,92,"сборщика, сборщик, Сборщик, СБОРЩИК"
диспетчер,88,"диспетчер, Диспетчер, ДИСПЕТЧЕР"
пекар,86,"ПЕКАРЬ, пекаря, пекарь, Пекарь"
инструктор,79,"инструктор, Инструктор, ИНСТРУКТОР"
дворник,79,"дворником, Дворник, ДВОРНИК, дворник"
фельдшер,78,"ФЕЛЬДШЕР, фельдшер, Фельдшер"
сварщик,76,"сварщик, Сварщик, СВАРЩИК"
истор,74,"история, истории, История, ИСТОРИИ, истори"
электросварщик,73,"электросварщика, Электросварщик, ЭЛЕКТРОСВАРЩИК, электросварщик"
электромонтажник,72,"электромонтажник, Электромонтажник, ЭЛЕКТРОМОНТАЖНИК"
конструктор,71,"конструктор, КОНСТРУКТОР, Конструктор"
электромеханик,68,"электромеханик, ЭЛЕКТРОМЕХАНИК, Электромеханик"
организатор,59,"ОРГАНИЗАТОР, Организатор, организатор, организатора"
токар,59,"Токарь, токаря, токарь"
комплектовщик,59,"комплектовщик, Комплектовщик"
сантехник,58,"Сантехник, САНТЕХНИК, сантехники, сантехника, сантехник"
биолог,56,"Биология, биологий, биология, Биологии, биологии, Биолог, БИОЛОГИИ, биолог"
финансист,55,"Финансист, ФИНАНСИСТ, финансист"
маркетолог,55,"Маркетолог, МАРКЕТОЛОГ, маркетолог, маркетолога"
упаковщик,55,"Упаковщик, упаковщик"
каменщик,53,"КАМЕНЩИК, каменщик, Каменщик"
предпринимател,52,"предприниматель, Предприниматель"
бригадир,52,"БРИГАДИР, Бригадир, бригадир, БРИГАДИРА"
физик,51,"ФИЗИКИ, физико, физик, Физика, Физик, физика, физики"
мерчендайзер,51,"МЕРЧЕНДАЙЗЕР, мерчендайзеров, Мерчендайзер, мерчендайзер"
филолог,49,"филология, ФИЛОЛОГИЯ, Филология, ФИЛОЛОГ, филолог, Филолог, филологии"
операционист,49,"операционист, Операционист"
вахтер,49,"вахтер, Вахтёр, вахтёр, Вахтер"
библиотекар,48,"БИБЛИОТЕКАРЬ, Библиотекарь, библиотекаря, библиотекарь"
бетонщик,48,"Бетонщик, бетонщик, БЕТОНЩИК"
эколог,47,"экологии, Экология, эколог, Эколог, Экологии"
химик,46,"химик, Химик, химико"
укладчик,46,"укладчика, укладчик, Укладчик, УКЛАДЧИК"
педагогик,45,"педагогике, педагогики, Педагогики, педагогика, Педагогика"
моторист,44,"Моториста, Моторист, моторист"
переводчик,43,"переводчик, Переводчик"
методист,43,"Методист, МЕТОДИСТ, методист"
логист,42,"Логист, логист"
монтер,41,"монтер, Монтер, монтёр, МОНТЕР, Монтёр, монтера"
логистик,39,"Логистик, логистик, Логистика, логистика, логистики, Логистики, логистике"
бурильщик,39,"бурильщик, Бурильщик, БУРИЛЬЩИКА, бурильщика"
тренер,39,"ТРЕНЕР, тренер, Тренер"
аналитик,39,"аналитиков, Аналитик, аналитики, аналитик"
сотрудник,39,"Сотрудник, сотрудник, СОТРУДНИКАМИ, сотрудниками"
станочник,38,"станочник, Станочник"
механизатор,37,"МЕХАНИЗАТОР, Механизатор, механизатор"
архитектор,36,"архитекторов, архитектора, Архитектор, архитектор"
аппаратчик,36,"аппаратчик, Аппаратчик, аппаратчика"
автослесар,35,"автослесаря, Автослесарь, автослесарь, АВТОСЛЕСАРЬ"
